Название,Тип,Родитель ID,Стеллаж,Полка,Номер документа,Дата подписания,Расположение,Категория
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязанское шоссе, 19 км, участок 1. Этап №5. Раздел 6. Проект организации строительства на прокладку внутриплодочных сетей корп. 1,2,6,7,7.1",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Рабочая документация. Наружные сети хоз-бытовой канализации. Наружные сети ливневой канализации.",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,001СФ-НВК,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Раздел 3. Технологические и конструктивные решения линейного объекта. Искусственные сооружения. Подраздел. Наружыне сети хоз-бытовой канализации. Наружные сети ливневой канализации.",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,001СФ-НВК,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Этап №5. Внутриплощадочные сети, стройгенплан. ТС2 Корпуса 1,2,6,7,7.1. Разводящие тепловые сети от ЦТП-1.",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Сттроительные нагрузки корп. 7,7.1.",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Этап №3. Корпуса 1,2. Раздел 5. Сведения об инженерном оборудовании, о сетях инженерно-технических мероприятий, содержание технологических решений. Подраздел 3. Система водоотведения.",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,"ТА-712-017-П-03-01,02-ИОС.3.ВК",,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Этап №5. Корпуса 1,2,6,7,7.1(ДОУ) Внутриплощадочные сети, стройгенплан. КМ1.5 Разводящие тепловые сети от ЦТП-1. Конструкции металлические под трубопроводы",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Корректировка рабочей документации общественно-делового центра по адресу: МО, г. Котельники, Новорязанское шоссе, 19 км, участок 1, в связи со смещением положения коммуникационного коридора. ВК1.1 Корректировка сетей водоснабжения и водостока в коммуникционным коридоре",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,Шифр: 21,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Корректировка проектной и рабочей документации раздела Внутриплощадочные инженерные сети для общественно-делового центра по адресу: МО, г. Котельники, Новорязанское шоссе, 19 км, участок 1. (Жилые корпуса 1,2,6,7,7.1(ДОУ);Гостиница корпуса 3,4,5,8). Этап №5. Насосная пожаротушения и резервуары. КНС и ДНС. АСУЗ. Автоматизированная система управления и мониторинга инженерных систем насосных станций КНС и ДНС.",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,Шифр 18,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Рабочая документация. Насосные станции перекачки хоз-бытовых и дождевых вод.",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,001СФ-НВК,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
"Корректировка проектной и рабочей документации раздела Внутриплощадочные инженерные сети для общественно-делового центра по адресу: МО, г. Котельники, Новорязанское шоссе, 19 км, участок 1. (Жилые корпуса 1,2,6,7,7.1(ДОУ);Гостиница корпуса 3,4,5,8). Этап №5, подэтап 5.1. Насосная пожаротушения и резервуары. КНС и ДНС. АСУЗ. Автоматизированная система управления и мониторинга инженерных систем насосных станций КНС и ДНС.",Документ,751d02b7-b481-4fc4-b0e4-f83fe92f52e8,,,Шифр 18,,Коробка 'Коробка 3А3' / Полка 3 / Стеллаж А,
Коробка 4А3,Коробка,,А,3,,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Раздел 5. Проект организации строительства. Подраздел. Наружные сети хоз-бытовой канализации",Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,001СФ-НВК,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Раздел 3. Технологические и конструктивные решения линейного объекта. Искусственные сооружения. Подраздел. Наружные сети хоз-бытовой канализации. Наружные сети ливневой канализации.",Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,001СФ-НВК,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
"Присоедение к тепловым сетям ТЭЦ №22 ОАО Мосэнерго объекта капитального строительства общественно-делового центра по адресу: МО, г. Котельники, Новорязанское шоссе, 19 км, участок 1. Тепловые сети",Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,К-ТС-0708-2015-ТС,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
"Адрес: МО, г. Котельники, ул. Сосновая, д.2.к.1 и д.2.к.2 Реконструкция с заменой участка теплоснабжения, вентиляции, горячего водоснабжения и восстановление системы инженерно-технического обеспечения. Раздел 2. Сведения об инженерном оборудовании, о тепловых сетях",Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,167/2022-ТС,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
"Исполнительные схемы системы отопления объекта общественно-деловой центр по адресу: МО, г. Котельники, Новорязанское шоссе 19 км, участок 1, корпус 1,2",Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
"Адрес: МО, г. Котельники, ул. Сосновая, д.2.к.1 и д.2.к.2 Реконструкция с заменой участка теплоснабжения, вентиляции, горячего водоснабжения и восстановление системы инженерно-технического обеспечения. Раздел 2. Сведения об инженерном оборудовании, о тепловых сетях.",Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,167/2022-ТС,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Раздел 3. Технологические и конструктивные решения линейного объекта. Искусственные сооружения. Подраздел. Наружные сети хоз-бытовой канализации. Наружные сети ливневой канализации. Приложение 1. Профили и деталировка наружной сети хоз-бытовой канализации и наружной сети ливневой канализации",Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,001СФ-НВК,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
"Согласование присоединения вновь построенного участка теплосети в точке 21, указанной в схеме теплоснабжения Северо-Западного района г. Котельники № 08-8014-К1-СХ-ТС. Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1.",Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,246,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
Об организации учета сточных вод,Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,258-05-15,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
"Общественно-деловой центр по адресу: МО, г. Котельники, Новорязаснкое шоссе, 19 км, участок 1. Раздел 5. Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения, перечень инженерно-технических мероприятий, содержание технологических решений. Подраздел 1. Система электроснабжения. Книга 9. Питающие кабельные линии напряжением 10кВ.",Документ,6b4fcf4e-5112-46e5-80f7-93da5479c550,,,ЛК.2014.001-ИОС.1.9,,Коробка 'Коробка 4А3' / Полка 3 / Стеллаж А,
Коробка 1А4,Коробка,,А,4,,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
"Реконструкция ЦТП-4А по адресу: МО, г. Котельники, мкр. Ковровый, ул. Новая д.16. Строительство павильона",Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,5799-ЦТП-4А-22,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
Технический отчет по монтажу электрооборудования в ЦТП-4А МУП ЖКХ Котельники,Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
"Рабочий проект. Центрального теплового пункта. Электрика. Объект: ЦТП. Адрес: МО, г. Котельники, Северо-Западный р-н, 3-я очередь строительства",Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
Реконструкция ЦТП-4А МУП ЖКХ Котельники. Альбом №4. Электротехническая часть. Объект №256.,Папка,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А / Папка 'Реконструкция ЦТП-4А МУП ЖКХ Котельники. Альбом №4. Электротехническая часть. Объект №256.',
"ИТП дошкольного образовательного учреждения на 100 мест по адресу: Мо, г. Котельники, мкр. Парковый. На проектирование индивидуального теплового пункта (ИТП), включающего в себя систему отопления, ГВС. Часть ЭМ",Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,02-07/13 ЭМ,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
Эль Гарден документы для заключения договора на технологическое присоединения к коммунальным сетям канализации и поставку услуг водоотведения гостиничного комплекса,Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,6,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
"ИТП дошкольного образовательного учреждения на 100 мест по адресу: Мо, г. Котельники, мкр. Парковый. На проектирование индивидуального теплового пункта (ИТП), включающего в себя систему отопления, ГВС. Часть ТМ",Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,02-07/13 ТМ,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
"Исполнительная документация ИТП ТМ, объект ИТП ДОУ, Адрес: МО, г. Котельники, мкр. Южный",Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
"Исполнительная документация ИТП ТМ, объект ИТП ДОУ, Адрес: МО, г. Котельники, мкр. Южный.",Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
Реконструкция ЦТП-4А МУП ЖКХ Котельники. Альбом №2. Тепломеханическая часть. Объект №526.,Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
Внутриплощадочные инженерные сети к жилым домам №9-11 Любереций район пос. Котельники. ЦТП (электроосвещение и силовое оборудование),Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,4514-70/03,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
"ИТП дошкольного образовательного учреждения на 100 мест по адресу: Мо, г. Котельники, мкр. Парковый. На проектирование индивидуального теплового пункта (ИТП), включающего в себя систему отопления, ГВС. Часть ТМ.",Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,02-07/13 ТМ,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
"Проект узла учета тепловой энергии и расхода теплоносителя системы отопления салона Жасмин, расположенного в подвальном помещении жилого дома по адресу: МО, Люберецкий район, г. Котельники, мкр. Белая Дача, д. 17.",Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
"Проект. Перенос теплового пункта из пятна застройки гостиничного комплекса по адресу: МО, г. Котельники, уч.3. Раздел: ТС, Стадия: П",Документ,eed4ce20-a1a3-4445-a7bb-7bebabf447c2,,,,,Коробка 'Коробка 1А4' / Полка 4 / Стеллаж А,
Коробка 2А4,Коробка,,А,4,,,Коробка 'Коробка 2А4' / Полка 4 / Стеллаж А,
"Внешние(наружные, внеплощадочные) и внутриплощадочные сети и иные сооружения, необходимые для содержания, обслуживания и эксплуатации 2 (двух) 17-ти этажных многоквартирных жилых домов и 6-ти этажной автостоянки на 600 машиномест, строящихся(создаваемых) Заказчиком на земельном кучастке с кадастровым номером 50:22:0050101:27. Том 1. Проект центрального теплового пункта. Книга 1. Тепломеханическая часть.",Документ,9cdb32f0-c369-4c38-ae00-46e1801b3bc8,,,1109-2015/С/КТЛ-3/15/7-ТМ,,Коробка 'Коробка 2А4' / Полка 4 / Стеллаж А,
"Внешние(наружные, внеплощадочные) и внутриплощадочные сети и иные сооружения, необходимые для содержания, обслуживания и эксплуатации 2 (двух) 17-ти этажных многоквартирных жилых домов и 6-ти этажной автостоянки на 600 машиномест, строящихся(создаваемых) Заказчиком на земельном кучастке с кадастровым номером 50:22:0050101:27. Том 1. Проект центрального теплового пункта. Книга 4. Автоматизация.",Документ,9cdb32f0-c369-4c38-ae00-46e1801b3bc8,,,1109-2015/С/КТЛ-3/15/7-АТХ,,Коробка 'Коробка 2А4' / Полка 4 / Стеллаж А,
"Внешние(наружные, внеплощадочные) и внутриплощадочные сети и иные сооружения, необходимые для содержания, обслуживания и эксплуатации 2 (двух) 17-ти этажных многоквартирных жилых домов и 6-ти этажной автостоянки на 600 машиномест, строящихся(создаваемых) Заказчиком на земельном кучастке с кадастровым номером 50:22:0050101:27. Том 1. Проект центрального теплового пункта. Книга 5. Конструкции железобетонные",Документ,9cdb32f0-c369-4c38-ae00-46e1801b3bc8,,,1109-2015/С/КТЛ-3/15/7-КЖ,,Коробка 'Коробка 2А4' / Полка 4 / Стеллаж А,
"Внешние(наружные, внеплощадочные) и внутриплощадочные сети и иные сооружения, необходимые для содержания, обслуживания и эксплуатации 2 (двух) 17-ти этажных многоквартирных жилых домов и 6-ти этажной автостоянки на 600 машиномест, строящихся(создаваемых) Заказчиком на земельном кучастке с кадастровым номером 50:22:0050101:27. Том 1. Проект центрального теплового пункта. Книга 6. Конструкции металлические",Документ,9cdb32f0-c369-4c38-ae00-46e1801b3bc8,,,1109-2015/С/КТЛ-3/15/7-КМ,,Коробка 'Коробка 2А4' / Полка 4 / Стеллаж А,
"Внешние(наружные, внеплощадочные) и внутриплощадочные сети и иные сооружения, необходимые для содержания, обслуживания и эксплуатации 2 (двух) 17-ти этажных многоквартирных жилых домов и 6-ти этажной автостоянки на 600 машиномест, строящихся(создаваемых) Заказчиком на земельном кучастке с кадастровым номером 50:22:0050101:27. Том 1. Проект центрального теплового пункта. Книга 3. Электроснабжение.",Документ,9cdb32f0-c369-4c38-ae00-46e1801b3bc8,,,1109-2015/С/КТЛ-3/15/7-ЭОМ,,Коробка 'Коробка 2А4' / Полка 4 / Стеллаж А,
"ИТП дошкольного образовательного учреждения на 100 мест по адресу: Мо, г. Котельники, мкр. Парковый. На проектирование индивидуального теплового пункта (ИТП), включающего в себя систему отопления, ГВС. Часть АТМ.",Документ,9cdb32f0-c369-4c38-ae00-46e1801b3bc8,,,02-07/13 АТМ,,Коробка 'Коробка 2А4' / Полка 4 / Стеллаж А,
Камеры схемы трасс,Папка,,А,4,,,Папка 'Камеры схемы трасс' / Полка 4,
"Об. Котельники. Внутриплощадочные инженерные сети и ИТП к жилым домам корп. 2,3,4,7,8 и д/сад. G214 ОАО Проектный портал",Папка,,А,4,,,"Папка 'Об. Котельники. Внутриплощадочные инженерные сети и ИТП к жилым домам корп. 2,3,4,7,8 и д/сад. G214 ОАО Проектный портал' / Полка 4",
ЦТП-12 СИНДИ-М,Папка,,А,4,,,Папка 'ЦТП-12 СИНДИ-М' / Полка 4,
"Строительство объекта Филиал Котельники государственного казенного учреждения здравоохранения МО Центр по профилактике и борьбе со СПИДом и инфекционными заболеваниями для амбулаторного приема взрослых и детей на 360 посещений в смену по адресу: г. Котельники, мкр. Силикат, д.41А",Документ,,А,4,5793-41А-22-ТС,,Полка 4,
"Строительство объекта Филиал Котельники государственного казенного учреждения здравоохранения МО Центр по профилактике и борьбе со СПИДом и инфекционными заболеваниями для амбулаторного приема взрослых и детей на 360 посещений в смену по адресу: г. Котельники, мкр. Силикат, д.41А.",Документ,,Г,4,5793-41А-22-ТС,,Полка 4,
"Строительство объекта Филиал Котельники государственного казенного учреждения здравоохранения МО Центр по профилактике и борьбе со СПИДом и инфекционными заболеваниями для амбулаторного приема взрослых и детей на 360 посещений в смену по адресу: г. Котельники, мкр. Силикат, д.41А..",Документ,,А,4,5793-41А-22-ТС,,Полка 4,
"Строительство объекта Филиал Котельники государственного казенного учреждения здравоохранения МО Центр по профилактике и борьбе со СПИДом и инфекционными заболеваниями для амбулаторного приема взрослых и детей на 360 посещений в смену по адресу: г. Котельники, мкр. Силикат, д. 41А.",Документ,,А,4,4795-41А-22-НВ,,Полка 4,
"Акт замены материала на объекте Строительство объекта Филиал Котельники государственного казенного учреждения здравоохранения МО Центр по профилактике и борьбе со СПИДом и инфекционными заболеваниями для амбулаторного приема взрослых и детей на 360 посещений в смену по адресу: г. Котельники, мкр. Силикат, д.41А",Документ,,А,4,,,Полка 4,
Ордера МУЖКП Котельники,Папка,,А,4,,,Папка 'Ордера МУЖКП Котельники' / Полка 4,
Коробка 1А5,Коробка,,А,5,,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
Отчет о проведении обследования технического состояния участка канализационного коллектора 500-700,Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
"Торговый центр Selgros Cash @ Carry г. Котельники, Новорязанское шоссе, вл. 6, рабочая документация, внеплощадочные инженерные сети, коллектор, напорная канализация",Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,4513-87/08,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
"Торговый центр Selgros Cash @ Carry г. Котельники, Новорязанское шоссе, вл. 6, рабочая документация, внеплощадочные инженерные сети, водопровод, водосток",Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,4513-87/08,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
"Торговый центр Selgros Cash @ Carry г. Котельники, Новорязанское шоссе, вл. 6, проект, внутриплощадочные инженерные сети сооружения",Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,4345-120/08,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
"Исполнительная документация по объекту: Монтаж КНС 12.62.SEV.65.65.-2 инженерных сетей северо-западного района г. Котельники по адресу:  МО, г. Котельники. Заказчик: ЗАО Домостроитель",Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
Технологическое задание на переустройство воздушных участков КВЛ 110 кВ Чагино-Болятино с отп. на ПС Котельники и ВЛ 110 кВ Юбилейная-Красково с отп. на ПС Котельники в кабель,Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,153-13/ИВ-562,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
К договору разработка технических проектов ВЗУ 2016г МАН,Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,686,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
"ООО Интел-Л Участок под перекладку водопровода между домами №№15,18 в г. Котельники, мкр. Белая Дача. инженерно-геодезические изыскания",Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,4726-85/10,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
ЗАО Холдинг Веста СФ. Проект разводящих сетей отопления и горячего водоснабжения в поселке Котельники Люберецкого района. Технологическая и строительная части,Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,2р-4514-2005г,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
"Устав МУЖКП Котельники №1072-ПГ от 08.12.2009, Приказ №19/к О вступлении в должность директора от 08.02.2011, Комплексный план мероприятий по подготовке городского округа Котельники Московской области к работе в осенне-зимний период 2010/2011",Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
Исполнительная документация ООО СУ-9 Вторичный узел учета тепловой энергии и теплоносителя 2019,Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,153П/18-УУ2,,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
Исполнительная документация ООО СУ-9 Внутреннее электрооборудование и автоматизация,Документ,329f66a5-079a-4c0a-b1a0-3f1207dd0481,,,"153П/18-АТМ, 153П/18-ЭМ",,Коробка 'Коробка 1А5' / Полка 5 / Стеллаж А,
Коробка 2А5,Коробка,,А,5,,,Коробка 'Коробка 2А5' / Полка 5 / Стеллаж А,
Документация от ООО Синди-М. Часть 1,Другое,8008fe32-cc6b-4a58-8b5b-54c34495708b,А,5,,,Коробка 'Коробка 2А5' / Стеллаж А / Полка 5,
Документация от ООО Синди-М. Часть 2,Другое,8008fe32-cc6b-4a58-8b5b-54c34495708b,А,5,,,Коробка 'Коробка 2А5' / Стеллаж А / Полка 5,
Коробка 1А6,Коробка,,А,6,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"ООО Диана. Офисное здание по адресу: МО, г. Котельники, м-н Силикат на пересечении Яничкиного проезда и улицы Асфальтовой рядом с уч.6/2. Наружные сети водоснабжения и канализации",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,Р-16-2015-НВК,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
Пояснительная записка к схеме инженерного обеспечения мкр. Новый Ковровый Северо-Западного района г.о. Котельники МО в части водоснабжения и канализования разработонной ЗАО Центрэлектросетьстрой,Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,1109-2015/С/КТЛ/-3/15-СХ,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"План участка, располженного в г. Котельники. Топографо-геодезическая съемка дл целей проектирования и строительства объектов по проекту планировки Северо-Западного района г.о. Котельники",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,РП-10/14,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"План наружных сетей водоснабжения и канализации. Офисное здание по адресу: МО, г. Котельники, рядом с участком 6/2",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,Р-16-2015-НВК,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
План трассы. Застройка части мкр. Силикат г.о. Котельники МО. Жилой дом №1. Наружные сети теплоснабжения,Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,РП-2/12,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
ВЗУ-2 мкр. Белая дача. План с существующими и проектируемыми трубопроводы. Наружные инженерные сети водопровода и канализации. Строительство городских магистральных водопроводных сетей для обеспечения населения г. Котельники питьевой водой.,Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"Рабочий проект. Жилой дом №1. Наружные сети теплоснабжения.мкр. Силикат, КТВ №5 2013г",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
ООО Арсенал. Исполнительный чертеж прокладки трассы теплоснабжения жилого дома ООО КТВ от ТК-6 до ИТП в подвале дома,Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"Рабочий проект. ИТП по адресу: МО, г. Котельники, мкр. Силикат, жилой дом №1 заказчик: ООО Строительное управление №2",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,1807/12-УУТЭ,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
План трассы КЛ-10 кВ. Кабельная линия электропередачи,Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,МРС-07-2028-ЭС.ПТ,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
Профиль прокола КЛ-10 кВ. Профиль прокола №19,Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,МРС-07-2028-ЭС.ПП19,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"Проект электроснабжения офисного помещения по адресу: г. Котельники, мкр. Силикат д.12А Заказчик: МУЖКП Котельники",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
Теплотрасса от Котельной к новому ЦТП,Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,ЛК.11117.00.00.000/14,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
Вынос водопроводных сетей из зоны строительства 2011г,Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,ПроЭС 03-011.НВК,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"Технические условия №64 от 24.02.2011 Электроснабжение жилого дома поадресу: МО, г. котельники, мкр. силикат ООО КТВ",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"Организация электроснабжения ж/д по 1-ой категории. МО, г. Котельники, мкр. Силикат. РТП-7 2007г",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
ООО СМНУ НЕФТЕБАЗАВТОМАТИКА,Папка,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А / Папка 'ООО СМНУ НЕФТЕБАЗАВТОМАТИКА',
АКТ №46/2 от 01 февраля 2006г. допуска в эксплуатацию теплопотребляющих установок и тепловых сетей потребителя(новых и реконструированных),Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"ООО Стройсервис, Исполнительный чертеж теплотрассы по адресу: г. Котельники, мкр. Силикат, мойка у корп.8",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,559-94-13,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
Всё про Давыдова И.Н.,Папка,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А / Папка 'Всё про Давыдова И.Н.',
"ООО Актио-Стройтехника. Разработка РД на ливневую канализацию площадки в г. Котельники, Дзержинское шоссе, 4/2",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,30/16-РД,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"Устройство ливневой канализации для подключения снегоплавильной установки по адресу: МО, г.о. Котельники, мкр. Силикат, промзона, рядом со строением 13. Наружные сети водостока.",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
"Перенос наружных тепловых сетей на земельных участках с кадастровыми номерами 50:22:0050203:6699 и 50:22:0050203:6700 по адресу: МО, г. Котельники, мкр. силикат, промзона, рядом со стр.13. Тепловые сети",Документ,4afdf878-9b94-467a-9953-fe0e33cec2bb,,,,,Коробка 'Коробка 1А6' / Полка 6 / Стеллаж А,
Коробка 2А6,Коробка,,А,6,,,Коробка 'Коробка 2А6' / Полка 6 / Стеллаж А,
